cod;nome;período;valor
43;RS;2000;3.05
33;RJ;2000;5.33
32;ES;2000;2.988
11;RO;2000;7.65
50;MS;2000;6.354
16;AP;2000;0
29;BA;2000;0.935
53;DF;2000;1.295
22;PI;2000;0.937
24;RN;2000;2.237
41;PR;2000;3.49
12;AC;2000;11.156
35;SP;2000;5.1
25;PB;2000;0.888
42;SC;2000;1.583
52;GO;2000;4.49
14;RR;2000;43.212
13;AM;2000;2.02
21;MA;2000;0.547
26;PE;2000;4.65
31;MG;2000;2.04
51;MT;2000;6.696
27;AL;2000;2.16
23;CE;2000;2.24
15;PA;2000;1.27
17;TO;2000;3.186
28;SE;2000;2.1
11;RO;2001;12.605
23;CE;2001;1.52
33;RJ;2001;4.37
41;PR;2001;4.27
52;GO;2001;3.68
15;PA;2001;3.11
26;PE;2001;3.501
42;SC;2001;1.572
51;MT;2001;6.76
50;MS;2001;4.8
28;SE;2001;2.252
14;RR;2001;4.332
17;TO;2001;5.68
29;BA;2001;0.799
27;AL;2001;2.65
16;AP;2001;4.027
12;AC;2001;8.327
25;PB;2001;1.3
35;SP;2001;4.712
13;AM;2001;2.72
24;RN;2001;0.944
53;DF;2001;1.419
43;RS;2001;3.192
21;MA;2001;2.086
22;PI;2001;2.017
31;MG;2001;1.84
32;ES;2001;4.264
53;DF;2002;2.351
24;RN;2002;1.49
43;RS;2002;3.353
33;RJ;2002;4.87
51;MT;2002;6.89
15;PA;2002;1.48
25;PB;2002;0.998
41;PR;2002;4.169
12;AC;2002;5.51
42;SC;2002;2.36
52;GO;2002;4.154
17;TO;2002;2.7
21;MA;2002;0.875
14;RR;2002;13.019
32;ES;2002;3.38
11;RO;2002;6.99
27;AL;2002;1.64
35;SP;2002;4.54
23;CE;2002;1.184
50;MS;2002;6.953
26;PE;2002;4.58
13;AM;2002;2.18
29;BA;2002;0.863
16;AP;2002;6.34
31;MG;2002;2.345
28;SE;2002;2.413
22;PI;2002;1.813
12;AC;2003;11.159
41;PR;2003;4.72
22;PI;2003;2.043
53;DF;2003;2.39
24;RN;2003;2.83
25;PB;2003;0.569
21;MA;2003;1.457
