cod;nome;período;valor
27;AL;2000;4.548
51;MT;2000;6.3
29;BA;2000;1.732
16;AP;2000;2.67
26;PE;2000;7.57
28;SE;2000;2.2
31;MG;2000;2.911
32;ES;2000;5.899
43;RS;2000;3.88
11;RO;2000;8.06
24;RN;2000;1.03
15;PA;2000;3.76
33;RJ;2000;8.668
21;MA;2000;1.106
23;CE;2000;1.963
35;SP;2000;7.92
53;DF;2000;5.6
25;PB;2000;3.23
52;GO;2000;3.658
17;TO;2000;2.44
14;RR;2000;1.34
41;PR;2000;2.23
50;MS;2000;6.77
42;SC;2000;4.93
13;AM;2000;3.67
12;AC;2000;4.377
22;PI;2000;0.687
12;AC;2001;3.11
42;SC;2001;3.92
51;MT;2001;7.174
22;PI;2001;2.062
23;CE;2001;2.192
31;MG;2001;2.67
24;RN;2001;1.779
25;PB;2001;2.821
29;BA;2001;1.508
26;PE;2001;7.63
43;RS;2001;2.96
53;DF;2001;5.721
17;TO;2001;3.301
50;MS;2001;6.621
27;AL;2001;2.78
16;AP;2001;5.67
11;RO;2001;12.155
28;SE;2001;2.2
32;ES;2001;6.49
15;PA;2001;4.469
33;RJ;2001;9.67
14;RR;2001;6.22
21;MA;2001;1.63
52;GO;2001;3.967
35;SP;2001;7.714
41;PR;2001;2.384
13;AM;2001;5.6
22;PI;2002;1.584
21;MA;2002;1.38
53;DF;2002;5.897
52;GO;2002;4.556
11;RO;2002;7.58
51;MT;2002;6.724
12;AC;2002;4.92
42;SC;2002;3.432
13;AM;2002;3.298
41;PR;2002;3.19
35;SP;2002;7.08
14;RR;2002;8.626
33;RJ;2002;9.128
15;PA;2002;3.757
32;ES;2002;8.29
28;SE;2002;3.16
16;AP;2002;4.673
27;AL;2002;3.49
50;MS;2002;7.395
17;TO;2002;3.58
43;RS;2002;5.486
26;PE;2002;6.804
29;BA;2002;1.65
25;PB;2002;2.406
24;RN;2002;1.331
31;MG;2002;3.35
23;CE;2002;1.775
17;TO;2003;3.77
15;PA;2003;4.41
26;PE;2003;6.792
28;SE;2003;2.31
13;AM;2003;3.65
22;PI;2003;2.036
11;RO;2003;8.72
21;MA;2003;2.492
41;PR;2003;2.78
27;AL;2003;3.57
12;AC;2003;3.964
24;RN;2003;1.5
42;SC;2003;3.12
35;SP;2003;7.374
52;GO;2003;4.812
14;RR;2003;4.925
29;BA;2003;1.83
33;RJ;2003;8.18
16;AP;2003;6.366
25;PB;2003;2.19
50;MS;2003;4.89
43;RS;2003;3.756
23;CE;2003;1.417
31;MG;2003;4.224
53;DF;2003;7.21
51;MT;2003;6.165
32;ES;2003;7.39
51;MT;2004;7.26
15;PA;2004;2.83
41;PR;2004;3.49
16;AP;2004;6.384
26;PE;2004;7.32
42;SC;2004;2.69
28;SE;2004;2.346
27;AL;2004;4.073
31;MG;2004;4.664
13;AM;2004;2.93
11;RO;2004;2.707
21;MA;2004;1.843
23;CE;2004;1.583
17;TO;2004;3.04
25;PB;2004;4.251
35;SP;2004;5.33
22;PI;2004;1.18
32;ES;2004;7.32
52;GO;2004;3.89
53;DF;2004;6.64
14;RR;2004;2.3
33;RJ;2004;7.08
29;BA;2004;2.816
24;RN;2004;1.239
12;AC;2004;2.57
43;RS;2004;4.66
50;MS;2004;5.358
24;RN;2005;2.515
53;DF;2005;4.83
14;RR;2005;6.86
15;PA;2005;3.629
41;PR;2005;4.022
51;MT;2005;5.87
22;PI;2005;2.394
42;SC;2005;1.974
35;SP;2005;4.371
50;MS;2005;5.788
26;PE;2005;8.11
11;RO;2005;5.94
17;TO;2005;3.277
52;GO;2005;5.043
32;ES;2005;8.83
43;RS;2005;3.05
16;AP;2005;5.68
27;AL;2005;4.17
31;MG;2005;4.11
23;CE;2005;1.62
28;SE;2005;3.289
29;BA;2005;2.941
25;PB;2005;3.86
13;AM;2005;3.15
12;AC;2005;3.033
33;RJ;2005;7.19
21;MA;2005;2.06
52;GO;2006;5.532
42;SC;2006;4.81
21;MA;2006;2.408
41;PR;2006;3.79
16;AP;2006;4.384
53;DF;2006;5.58
25;PB;2006;4.309
24;RN;2006;2.467
12;AC;2006;3.11
27;AL;2006;6.16
32;ES;2006;10.613
35;SP;2006;4.07
50;MS;2006;4.478
43;RS;2006;3.69
29;BA;2006;3.457
14;RR;2006;2.131
11;RO;2006;6.321
22;PI;2006;2.34
33;RJ;2006;7.03
15;PA;2006;4.212
23;CE;2006;2.29
26;PE;2006;9.048
51;MT;2006;4.626
17;TO;2006;3.64
31;MG;2006;4.501
28;SE;2006;3.34
13;AM;2006;2.652
32;ES;2007;11.631
53;DF;2007;5.8
11;RO;2007;3.784
50;MS;2007;5.1
51;MT;2007;6.173
41;PR;2007;2.89
21;MA;2007;2.05
13;AM;2007;3.424
12;AC;2007;3.45
24;RN;2007;2.34
35;SP;2007;2.988
29;BA;2007;3.66
14;RR;2007;6.874
33;RJ;2007;5.811
52;GO;2007;4.683
42;SC;2007;1.79
25;PB;2007;4.6
16;AP;2007;3.661
23;CE;2007;2.95
15;PA;2007;4.015
26;PE;2007;8.71
31;MG;2007;4.723
28;SE;2007;2.97
17;TO;2007;5.278
22;PI;2007;1.983
43;RS;2007;3.68
27;AL;2007;5.763
17;TO;2008;3.36
51;MT;2008;6.618
32;ES;2008;12.764
21;MA;2008;2.76
25;PB;2008;6.54
50;MS;2008;3.794
23;CE;2008;2.55
52;GO;2008;5.855
42;SC;2008;2.4
12;AC;2008;1.79
33;RJ;2008;5.72
14;RR;2008;3.44
22;PI;2008;2.53
11;RO;2008;3.936
43;RS;2008;3.73
35;SP;2008;2.968
27;AL;2008;5.969
16;AP;2008;5.162
29;BA;2008;4.489
53;DF;2008;7.723
24;RN;2008;4.36
13;AM;2008;4.251
41;PR;2008;4
28;SE;2008;3.06
31;MG;2008;4.1
26;PE;2008;8.66
15;PA;2008;4.77
24;RN;2009;3.38
42;SC;2009;2.24
41;PR;2009;4.12
13;AM;2009;4.36
22;PI;2009;1.74
35;SP;2009;3.415
33;RJ;2009;4.99
23;CE;2009;2.609
14;RR;2009;8.25
52;GO;2009;6.24
32;ES;2009;14.965
15;PA;2009;5.11
31;MG;2009;4.41
27;AL;2009;7.547
16;AP;2009;4.255
50;MS;2009;4.281
11;RO;2009;6.359
43;RS;2009;4.256
17;TO;2009;4.59
26;PE;2009;8.676
28;SE;2009;2.95
21;MA;2009;2.64
53;DF;2009;8.09
25;PB;2009;6.921
29;BA;2009;5.033
51;MT;2009;6.037
12;AC;2009;2.213
14;RR;2010;6.2
12;AC;2010;4.68
25;PB;2010;8.06
15;PA;2010;6.57
50;MS;2010;6.604
52;GO;2010;6.9
32;ES;2010;12.23
21;MA;2010;3.83
28;SE;2010;4.833
11;RO;2010;4.242
51;MT;2010;5.82
41;PR;2010;3.54
22;PI;2010;2.253
43;RS;2010;4.54
13;AM;2010;4.39
24;RN;2010;4.703
42;SC;2010;4.16
17;TO;2010;6.01
27;AL;2010;8.21
29;BA;2010;6.23
35;SP;2010;3.23
23;CE;2010;3.693
